id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-266,webqsp,test,what is there to do for fun in kansas city?,"Kansas City Zoo, Worlds of Fun, Power & Light District, Country Club Plaza, Kauffman Stadium, Arrowhead Stadium, Nelson-Atkins Museum of Art","['Kansas City Zoo', 'Kauffman Center for the Performing Arts', '18th and Vine-Downtown East', 'Kemper Museum of Contemporary Art', 'Liberty Memorial', 'Harry S. Truman Presidential Library and Museum', 'Crown Center', 'Worlds of Fun', 'Sprint Center', 'Negro Leagues Baseball Museum', 'Boulevard Brewing Company', 'Oceans of Fun', 'Hotel Phillips', 'Deer Creek Golf Course', 'Ewing and Muriel Kauffman Memorial Garden']",Tiered-Forest,"Kansas City Zoo, Worlds of Fun, Power & Light District, Country Club Plaza, Kauffman Stadium, Arrowhead Stadium, Nelson-Atkins Museum of Art",True
WebQTest-191,webqsp,test,where did drew brees go to college wikianswers?,Purdue University,"['Stanford Graduate School of Business', 'Purdue University']",Tiered-Forest,Purdue University,True
WebQTest-554,webqsp,test,what money do they use in spain?,Euro,['Euro'],Tiered-Forest,Euro,True
WebQTest-637,webqsp,test,what type of government did soviet union have?,communist state,"['Communist state', 'Socialist state', 'Soviet democracy', 'Parliamentary republic']",Tiered-Forest,communist state,True
WebQTest-875,webqsp,test,where did hugo chavez go to school?,Academia Militar de Venezuela,"['Julian Pino School', ""Daniel Florencio O'Leary School"", 'Simón Bolívar University', 'Bolivarian Military University of Venezuela']",Tiered-Forest,Academia Militar de Venezuela,False
WebQTest-438,webqsp,test,what university did romney graduated from?,"Brigham Young University, Harvard University",['Brigham Young University'],Tiered-Forest,"Brigham Young University, Harvard University",True
WebQTest-234,webqsp,test,what countries does the panama canal go through?,Panama,['Panama'],Tiered-Forest,Panama,True
WebQTest-461,webqsp,test,where did clay matthews go to school?,University of Southern California,"['University of Southern California', 'Agoura High School']",Tiered-Forest,University of Southern California,True
WebQTest-1441,webqsp,test,where all did picasso live?,"Barcelona, Paris, Mougins","['Málaga', 'Madrid', 'France']",Tiered-Forest,"Barcelona, Paris, Mougins",False
WebQTest-1622,webqsp,test,what ocean is around hawaii?,Pacific Ocean,['Pacific Ocean'],Tiered-Forest,Pacific Ocean,True
WebQTest-1757,webqsp,test,what did michael crabtree do?,play football,"['Wide receiver', 'Athlete', 'American football player']",Tiered-Forest,play football,False
WebQTest-1328,webqsp,test,what did hayes do?,"U.S. Representative, Governor of Ohio, 19th President of the United States",['US President'],Tiered-Forest,"U.S. Representative, Governor of Ohio, 19th President of the United States",False
WebQTest-296,webqsp,test,what kind of government does libya have today?,Government of National Unity,"['Provisional government', 'Parliamentary republic']",Tiered-Forest,Government of National Unity,False
WebQTest-527,webqsp,test,what country borders slovakia?,"Austria, Czech Republic, Hungary, Poland, Ukraine","['Czech Republic', 'Hungary', 'Poland', 'Ukraine', 'Austria']",Tiered-Forest,"Austria, Czech Republic, Hungary, Poland, Ukraine",True
WebQTest-2001,webqsp,test,who won the 2000 fa cup final?,Chelsea,['Chelsea F.C.'],Tiered-Forest,Chelsea,True
WebQTest-1997,webqsp,test,who does owen schmitt play for?,West Virginia Mountaineers,['Seattle Seahawks'],Tiered-Forest,West Virginia Mountaineers,False
WebQTest-1848,webqsp,test,what instrument does louis armstrong?,trumpet,"['Cornet', 'Trumpet']",Tiered-Forest,trumpet,True
WebQTest-482,webqsp,test,who plays blaine in batman?,Glenn Shadix,"['Matthew Wagner', 'Danny Trejo', 'Carlos Alazraqui', 'Tom Hardy']",Tiered-Forest,Glenn Shadix,False
WebQTest-1780,webqsp,test,who does michael oher play for in 2010?,Tennessee Titans,['Baltimore Ravens'],Tiered-Forest,Tennessee Titans,False
WebQTest-504,webqsp,test,who was philip in acts chapter 8?,Philip the Evangelist,['Apostle Philip'],Tiered-Forest,Philip the Evangelist,False
WebQTest-410,webqsp,test,what are the major cities in ukraine?,"Kyiv, Kharkiv, Odesa, Dnipro, Donetsk, Zaporizhzhia, Lviv",['Kiev'],Tiered-Forest,"Kyiv, Kharkiv, Odesa, Dnipro, Donetsk, Zaporizhzhia, Lviv",False
WebQTest-2005,webqsp,test,who plays bob kelso in scrubs?,Ken Jenkins,['Ken Jenkins'],Tiered-Forest,Ken Jenkins,True
WebQTest-1894,webqsp,test,what baseball team was jackie robinson on?,Brooklyn Dodgers,"['Kansas City Monarchs', 'Montreal Royals', 'Brooklyn Dodgers']",Tiered-Forest,Brooklyn Dodgers,True
WebQTest-1303,webqsp,test,what other movies is josh hutcherson in?,"The Hunger Games, Bridge to Terabithia, Journey to the Center of the Earth, Zathura, The Kids Are All Right, Future Man, Five Nights at Freddy's","['In Dubious Battle', 'The Long Home', 'Bridge to Terabithia', ""Cirque du Freak: The Vampire's Assistant"", 'Firehouse Dog', 'Winged Creatures', 'Party Wagon', 'Journey to the Center of the Earth', 'One Last Ride', 'Wilder Days', 'Miracle Dogs', 'Kicking & Screaming', 'Red Dawn', 'Motocross Kids', 'Zathura', 'The Kids Are All Right', 'The Forger', 'The Polar Express', 'RV', 'Little Manhattan', 'Journey 2: The Mysterious Island', 'American Splendor', 'Detention', 'House Blend', 'The Hunger Games', '7 Days in Havana', 'The Third Rule', 'Epic', 'The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay, Part 1', 'The Hunger Games: Mockingjay, Part 2', 'Escobar: Paradise Lost']",Tiered-Forest,"The Hunger Games, Bridge to Terabithia, Journey to the Center of the Earth, Zathura, The Kids Are All Right, Future Man, Five Nights at Freddy's",True
WebQTest-1017,webqsp,test,who plays charlie in the santa clause movies?,Eric Lloyd,['Eric Lloyd'],Tiered-Forest,Eric Lloyd,True
WebQTest-1526,webqsp,test,how many languages do they speak in switzerland?,"German, French, Italian, Romansh","['Italian Language', 'German Language', 'French', 'Romansh language']",Tiered-Forest,"German, French, Italian, Romansh",True
WebQTest-634,webqsp,test,what county is san antonio in?,Bexar County,"['Comal County', 'Medina County', 'Bexar County']",Tiered-Forest,Bexar County,True
WebQTest-698,webqsp,test,who is robin roberts father?,Lawrence E. Roberts,['Lawrence E. Roberts'],Tiered-Forest,Lawrence E. Roberts,True
WebQTest-1708,webqsp,test,what are dallas cowboys colors?,"blue, silver, white","['Blue', 'Navy Blue', 'Silver', 'Royal blue', 'White']",Tiered-Forest,"blue, silver, white",True
WebQTest-1990,webqsp,test,who plays timon's voice in the lion king?,Nathan Lane,['Nathan Lane'],Tiered-Forest,Nathan Lane,True
WebQTest-163,webqsp,test,what year did the seahawks win the superbowl?,2014,['Super Bowl XLVIII'],Tiered-Forest,2014,False
WebQTest-1566,webqsp,test,what kind of guitar john mayer?,Fender Stratocaster,['Fender Stratocaster'],Tiered-Forest,Fender Stratocaster,True
WebQTest-1614,webqsp,test,what religion was king louis xiv?,Catholicism,['Catholicism'],Tiered-Forest,Catholicism,True
WebQTest-1533,webqsp,test,what planet did luke skywalker came from?,Tatooine,['Polis Massa'],Tiered-Forest,Tatooine,False
WebQTest-1470,webqsp,test,what kind of government does poland have?,parliamentary republic,"['Democracy', 'Parliamentary republic']",Tiered-Forest,parliamentary republic,True
WebQTest-1557,webqsp,test,where do florida panthers play?,BB&T Center,"['BB&T Center', 'Miami Arena']",Tiered-Forest,BB&T Center,True
WebQTest-1917,webqsp,test,what did charles babbage discover?,"difference engine, analytical engine","['Difference engine', 'Analytical Engine']",Tiered-Forest,"difference engine, analytical engine",True
WebQTest-512,webqsp,test,who were mary shelley?,Mary Wollstonecraft Godwin,"['Editor', 'Biographer', 'Playwright', 'Travel writer', 'Novelist', 'Writer', 'Essayist', 'Author']",Tiered-Forest,Mary Wollstonecraft Godwin,False
WebQTest-1047,webqsp,test,who does amy stiller play in dodgeball?,Patches O'Houlihan,['Keno Waitress'],Tiered-Forest,Patches O'Houlihan,False
WebQTest-1685,webqsp,test,where did benjamin franklin went to school?,Boston Latin School,['Boston Latin School'],Tiered-Forest,Boston Latin School,True
